Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2016-2017,Ligue1,Monaco,Loic Badiashile,fr FRA,GK,18.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Irvin Cardona,fr FRA,"FW,MF",18.0,0.2,0.0,4.0,4.0,100.0,18.95,18.95,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Squad Total,,,25.0,38.0,103.0,556.0,249.0,44.8,14.63,6.55,0.17,0.37,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Opponent Total,,,26.3,38.0,31.0,369.0,118.0,32.0,9.71,3.11,0.08,0.24,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Paris S-G,Edinson Cavani,uy URU,FW,29.0,32.9,35.0,142.0,68.0,47.9,4.31,2.06,0.2,0.41,,7.0,8.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Paris S-G,Lucas Moura,br BRA,"FW,MF",23.0,26.9,12.0,67.0,30.0,44.8,2.49,1.12,0.16,0.37,,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Paris S-G,Marquinhos,br BRA,DF,22.0,27.8,3.0,15.0,5.0,33.3,0.54,0.18,0.2,0.6,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Paris S-G,Thiago Silva,br BRA,DF,31.0,26.5,3.0,21.0,10.0,47.6,0.79,0.38,0.14,0.3,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Paris S-G,Blaise Matuidi,fr FRA,MF,29.0,26.8,4.0,42.0,14.0,33.3,1.57,0.52,0.1,0.29,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Paris S-G,Thiago Motta,it ITA,MF,33.0,24.8,0.0,12.0,1.0,8.3,0.48,0.04,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,23.0,23.9,3.0,12.0,5.0,41.7,0.5,0.21,0.25,0.6,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Paris S-G,Kevin Trapp,de GER,GK,26.0,23.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Paris S-G,Ángel Di María,ar ARG,FW,28.0,22.6,6.0,84.0,35.0,41.7,3.71,1.55,0.07,0.17,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
